FIYAT,IL,ILCE,MAHALLE,ILAN_NO,ARSA_TIPI,METREKARE,KREDIYE_UYGUNLUK,TAPU_DURUMU,TAKAS,KAT_KARSILIGI,ILGILI_BELEDIYE,METREKARE_BIRIM_FIYAT,ADA,PARSEL,KIRA_GETIRISI
165000,BALIKESIR,AYVALIK,ALTINOVA,42916-1540,I_K,255,UYGUN,1.0,1.0,1.0,AYVALIK,,,,
240000,BURSA,YENISEHIR,KOZDERE,69245-16,TARLA,7750,UYGUN DEGIL,0.0,0.0,0.0,YENISEHIR,35.0,118.0,53.0,
5000000,NIGDE,MERKEZ,AKTAS (DEVLET),117875-28,I_S,52000,,,,,,96153.0,,,
6848000,NIGDE,CEYHAN,YALAK,0-35832104,TARLA,428000,,,,,,,,659.0,
115000,ADIYAMAN,KAHTA,CUMHURIYET,118904-18,M_A,410,,,,,,,,,
77000,ADANA,ALADAG,CERITLER,119467-5,I_K,500,,,,,,,,,
185000,ANKARA,AKYURT,SAMUT,26985-2054,TARLA,1410,BILINMIYOR,1.0,1.0,1.0,AKYURT,,2801.0,54.0,
1380000,ANKARA,KECIOREN,KARSIYAKA,85799-1691,I_K,2150,BILINMIYOR,0.0,0.0,0.0,,,91370.0,99999.0,
285000,MUGLA,MILAS,MESELIK,10886-3404,I_K,710,UYGUN,0.0,0.0,0.0,MILAS,,0.0,0.0,
7500000,AYDIN,DIDIM,FEVZIPASA,111124-4,I_T,10359,BILINMIYOR,0.0,0.0,0.0,AYDIN DIDIM,,3178.0,1.0,
215000,CANAKKALE,AYVACIK,BAHARLAR,65585-675,I_K,1623,UYGUN,1.0,1.0,1.0,,,160.0,11.0,
125000,CANAKKALE,AYVACIK,BAHARLAR,65585-677,I_K,750,BILINMIYOR,0.0,0.0,0.0,,,,,
320000,ELAZIG,MERKEZ,POYRAZ (POYRAZ),117554-9,TARLA,8034,,,,,,,,,
660000,BALIKESIR,GOMEC,KARAAGAC,114052-364,I_K,637,UYGUN,1.0,1.0,1.0,GOMEC,,,,
60000,ANKARA,BALA,BEYNAM,10477-299,I_K,1066,,,,,,,,,
165000,KOCAELI,KARAMURSEL,INEBEYLI,80164-38,TARLA,1582,UYGUN,0.0,0.0,0.0,KARAMURSEL,,,,
165000,BALIKESIR,AYVALIK,ALTINOVA,42916-1540,I_K,255,UYGUN,1.0,1.0,1.0,AYVALIK,,,,
240000,BURSA,YENISEHIR,KOZDERE,69245-16,TARLA,7750,UYGUN DEGIL,0.0,0.0,0.0,YENISEHIR,35.0,118.0,53.0,
5000000,NIGDE,MERKEZ,AKTAS (DEVLET),117875-28,I_S,52000,,,,,,96153.0,,,
6848000,ADANA,CEYHAN,YALAK,0-35832104,TARLA,428000,,,,,,,,659.0,
115000,ADIYAMAN,KAHTA,CUMHURIYET,118904-18,M_A,410,,,,,,,,,
77000,ADANA,ALADAG,CERITLER,119467-5,I_K,500,,,,,,,,,
185000,ANKARA,AKYURT,SAMUT,26985-2054,TARLA,1410,BILINMIYOR,1.0,1.0,1.0,AKYURT,,2801.0,54.0,
1380000,ANKARA,KECIOREN,KARSIYAKA,85799-1691,I_K,2150,BILINMIYOR,0.0,0.0,0.0,,,91370.0,99999.0,
285000,MUGLA,MILAS,MESELIK,10886-3404,I_K,710,UYGUN,0.0,0.0,0.0,MILAS,,0.0,0.0,
7500000,AYDIN,DIDIM,FEVZIPASA,111124-4,I_T,10359,BILINMIYOR,0.0,0.0,0.0,AYDIN DIDIM,,3178.0,1.0,
215000,CANAKKALE,AYVACIK,BAHARLAR,65585-675,I_K,1623,UYGUN,1.0,1.0,1.0,,,160.0,11.0,
125000,CANAKKALE,AYVACIK,BAHARLAR,65585-677,I_K,750,BILINMIYOR,0.0,0.0,0.0,,,,,
320000,ELAZIG,MERKEZ,POYRAZ (POYRAZ),117554-9,TARLA,8034,,,,,,,,,
660000,BALIKESIR,GOMEC,KARAAGAC,114052-364,I_K,637,UYGUN,1.0,1.0,1.0,GOMEC,,,,
60000,ANKARA,BALA,BEYNAM,10477-299,I_K,1066,,,,,,,,,
165000,KOCAELI,KARAMURSEL,INEBEYLI,80164-38,TARLA,1582,UYGUN,0.0,0.0,0.0,KARAMURSEL,,,,
1100000,KOCAELI,KARAMURSEL,INEBEYLI,80164-19,TARLA,27000,UYGUN,0.0,0.0,0.0,KARAMURSEL,,,,
400000,KOCAELI,KARAMURSEL,CAMDIBI,80164-31,TARLA,6180,UYGUN,1.0,1.0,1.0,KARAMURSEL,,,,
145000,AYDIN,DIDIM,AKBUK,23087-3801,I_K,240,UYGUN,0.0,0.0,0.0,,,,,
330000,MUGLA,MENTESE,YERKESIK,117656-82,I_K,1307,BILINMIYOR,0.0,0.0,0.0,,,,,
375000,BALIKESIR,EDREMIT,KIZILKECILI,117694-15,I_K,255,UYGUN,0.0,0.0,0.0,EDREMIT,1294.0,,0.0,
3802170,ERZINCAN,MERKEZ,BALIBEYI,0-34464953,BAHCE,380217,,,,,,,,,
220000,MUGLA,ULA,KARABORTLEN,119335-8,TARLA,4000,UYGUN,0.0,0.0,0.0,ULA,55.0,154.0,132.0,
570000,MUGLA,ULA,PORTAKALLIK,119335-7,TARLA,8050,UYGUN,0.0,0.0,0.0,ULA,70.0,110.0,1.0,
625000,IZMIR,FOCA,KOZBEYLI,119024-9,ZEYTINLIK,1200,,,,,,520.0,512176.0,1324.0,
1950000,SAKARYA,SERDIVAN,VATAN,3006-4564,I_K,1618,,,,,,,,,
6400000,ISTANBUL,KARTAL,YUKARI,33900-1096,I_K,445,UYGUN,0.0,0.0,0.0,KARTAL,,,,
2184000,ANTALYA,KAS,BELENLI,110065-1096,TARLA,8400,UYGUN,0.0,0.0,0.0,KAS,260.0,146.0,1.0,
225000,MALATYA,BATTALGAZI,YARIMCAHAN,91181-3944,BAHCE,4880,,,,,,,,,
3190000,ANKARA,GOLBASI,KARAOGLAN,39085-4113,TARLA,25664,,1.0,1.0,1.0,GOLBASI,125.0,124968.0,1.0,
890000,KOCAELI,DILOVASI,TEPECIK,98824-522,CIFTLIK,2140,,,,,DILOVASI,,,,
165000,ISTANBUL,CATALCA,KARACAKOY MERKEZ,104317-296,BAHCE,552,,1.0,1.0,1.0,,,,1568.0,
70000,KOCAELI,KANDIRA,CALYER,43070-508,I_K,412,,0.0,0.0,0.0,KANDIRA,,132.0,1.0,
220000,AYDIN,DIDIM,AKBUK,99784-2957,I_K,241,UYGUN,0.0,0.0,0.0,DIDIM BELEDIYESI,11111111.0,1111111111.0,1111111111.0,
